axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,10000.0,0.49097782627822983
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,10500.0,0.5179636284364267
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,11000.0,0.5899567182875196
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,11500.0,0.6784988303438646
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,5.0,15.0,12000.0,0.7540226992897413
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,0.0,
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,500.0,0.8282854400561022
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,1000.0,0.9441686793071498
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,1500.0,0.9587536794549001
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,2000.0,0.917735445777935
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,2500.0,0.8529053427413992
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,3000.0,0.7834063817078465
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,3500.0,0.7196599598814658
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,4000.0,0.6737118911637372
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,4500.0,0.6619021924908356
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,5000.0,0.6785771563997436
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,5500.0,0.6935631881625712
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,6000.0,0.6948897803853719
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,6500.0,0.6927000815848805
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,7000.0,0.6981669490371091
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,7500.0,0.7171225548545399
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,8000.0,0.7511477761756699
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,8500.0,0.7968252950690802
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,9000.0,0.8426645945397949
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,9500.0,0.8699689606804114
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,10000.0,0.864749331278148
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,10500.0,0.830143419832483
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,11000.0,0.7820646308425955
k_io,22,23,0.0,20.0,71535.22183749687,13.50608274053837,7.0,25.0,11500.0,0.7368624464982702
