configuration,n_ensembles,n_walkers,axis_walks,delta_ms,Delta_ms,b_s_mm2,n_cellular_entries,se_min,se_q05,se_q25,se_median,se_q75,se_q95,se_max,se_mean
"20 x 200,000",20,200000,12000000,15.0,40.0,3500.0,24,8.029296305718352e-05,9.54363649626842e-05,0.00018085858483786243,0.0002343600161593864,0.0002613950230111698,0.004071255377175664,0.004451775717859322,0.000628979060322412
"20 x 200,000",20,200000,12000000,15.0,40.0,4000.0,24,9.87720639592618e-05,0.00010589168517434839,0.00016806626219870621,0.0002074139311434829,0.0002588917397216413,0.003833993756465764,0.00493417560483,0.0005759307851919838
"20 x 200,000",20,200000,12000000,15.0,40.0,4500.0,24,9.420957276263469e-05,0.00011342579907784276,0.00016812102085709938,0.00020133380094990722,0.00025300214114381907,0.003933394736899083,0.005157877112814214,0.0006560158637265561
"20 x 200,000",20,200000,12000000,15.0,40.0,5000.0,24,0.00010565987682689886,0.00011427998438454632,0.00017289446151818138,0.00019550835567428543,0.00025988939283696035,0.0038503554517662427,0.00518213459324774,0.0006978088463204151
"20 x 200,000",20,200000,12000000,15.0,40.0,5500.0,24,0.00010578428857121471,0.00012493071118800135,0.00017538329770947468,0.00019781150791086432,0.0002611686095635697,0.0036371649293885744,0.005084578617859781,0.0006882423862395203
"20 x 200,000",20,200000,12000000,15.0,40.0,6000.0,24,0.00010329039380258848,0.00013725648962511204,0.0001787590392536984,0.00020266474671936903,0.00025748749529009397,0.003304383398578518,0.004940290834225362,0.0006561319450816846
"20 x 200,000",20,200000,12000000,15.0,40.0,6500.0,24,0.00010999102900645706,0.0001397408080103491,0.00017381206832070198,0.00020437970098250075,0.00025370864199132095,0.0028618118861057262,0.004802631577194037,0.0006129998816213197
"20 x 200,000",20,200000,12000000,15.0,40.0,7000.0,24,0.00012122966844759486,0.00012887493565974338,0.00017167607785766815,0.00020510430898468843,0.0002475132090514242,0.0026864835605087947,0.004696361307186188,0.0005785991323846392
"20 x 200,000",20,200000,12000000,15.0,40.0,7500.0,24,0.00011581539108215895,0.0001299734866370375,0.00017462290697993688,0.0002072288585286489,0.0002483894500162728,0.002508224806905278,0.004625454206169011,0.0005425570796719416
"20 x 200,000",20,200000,12000000,15.0,40.0,8000.0,24,0.0001131132252700909,0.00012753904001596951,0.00017611497299680262,0.00019986887307305276,0.00025922586022333817,0.0023701725169521046,0.004587573535195673,0.0005041508363820582
"20 x 200,000",20,200000,12000000,15.0,40.0,8500.0,24,0.00011771720537013302,0.00012107410128964372,0.00017793605392295536,0.00019633649119133692,0.00026559924217945546,0.002372077643013392,0.004584048056596951,0.0004923987080960318
"20 x 200,000",20,200000,12000000,15.0,40.0,9000.0,24,0.00011858894868035005,0.0001279512760215348,0.00017185715612768433,0.00019945185048577768,0.00027242183122888185,0.002437799423622499,0.0046204801417686955,0.0004990543171823781
"20 x 200,000",20,200000,12000000,15.0,40.0,9500.0,24,0.00012694022773373804,0.00013223189985313007,0.00016582517734709594,0.00021242949015825254,0.00027478863656904583,0.002729598684059994,0.004700868156172454,0.0005825950240456213
"20 x 200,000",20,200000,12000000,15.0,40.0,10000.0,24,0.00011894657795174973,0.0001332186482646493,0.00016260278684882267,0.00022359850332752209,0.0002764261354441208,0.0029970025346496587,0.004821571650113467,0.000622125379789673
"20 x 200,000",20,200000,12000000,15.0,40.0,10500.0,24,8.751781656892169e-05,0.0001425573383465306,0.00017224862842575678,0.00021498571805088443,0.0002716478556168402,0.0033119186992921217,0.004969794405029806,0.0006912418816124791
"20 x 200,000",20,200000,12000000,15.0,40.0,11000.0,24,5.9207206330050265e-05,0.00015283339167908842,0.0001776638052613985,0.0002119492232226212,0.000268081833227635,0.003305923064303246,0.005126916921760256,0.0007268166108280917
