axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,6500.0,0.38016746479688956
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,7000.0,0.3668851771015142
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,7500.0,0.3448802995293711
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,8000.0,0.31387592691546273
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,8500.0,0.27510725782885115
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,9000.0,0.23068737173028014
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,9500.0,0.18469959013336482
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,10000.0,0.14377405899660098
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,10500.0,0.11553559316935598
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,11000.0,0.10569178701098181
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,11500.0,0.11615050422689928
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,12.0,36.0,12000.0,0.14541156581215367
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,500.0,0.6424931438199232
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,1000.0,0.6956905708578252
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,1500.0,0.6982102103418697
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,2000.0,0.7006672739942378
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,2500.0,0.6822585836444011
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,3000.0,0.6393171850176373
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,3500.0,0.576155662118524
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,4000.0,0.4905108311820582
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,4500.0,0.39009558439184994
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,5000.0,0.2885471570741521
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,5500.0,0.1929166954081513
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,6000.0,0.10725984598831038
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,6500.0,0.03769382492212873
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,7000.0,-0.012176660404941708
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,7500.0,-0.046611915901898275
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,8000.0,-0.07065639190631781
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,8500.0,-0.08073810038473252
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,9000.0,-0.06647597180184882
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,9500.0,-0.02113194101601155
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,10000.0,0.050459886616109305
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,10500.0,0.13336384419731684
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,11000.0,0.2103124503080902
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,11500.0,0.26883159215053487
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,15.0,40.0,12000.0,0.30412876055602645
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,500.0,0.6112271595670081
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,1000.0,0.6654284832529568
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,1500.0,0.6876268308590006
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,2000.0,0.6545434190960026
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,2500.0,0.5953412026373579
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,3000.0,0.5218469085510722
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,3500.0,0.41892984651736787
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,4000.0,0.28548221224512366
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,4500.0,0.16201362465775176
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,5000.0,0.1014743712035219
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,5500.0,0.11297108919939305
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,6000.0,0.16559758653981277
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,6500.0,0.22990043709951372
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,7000.0,0.29326156938480874
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,7500.0,0.35289679689114173
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,8000.0,0.40714590232469416
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,8500.0,0.45239237685256223
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,9000.0,0.4848988086819424
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,9500.0,0.5038415754780926
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,10000.0,0.511997520856627
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,10500.0,0.5137764371222956
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,11000.0,0.5127472270591281
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,11500.0,0.5102145992542766
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,20.0,50.0,12000.0,0.5052053360932938
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,500.0,0.5842726223824548
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,1000.0,0.6437665168977247
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,1500.0,0.7026682756180695
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,2000.0,0.6803738760720615
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,2500.0,0.6092105090542633
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,3000.0,0.5229135076411107
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,3500.0,0.4489086133161343
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,4000.0,0.4138345404251155
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,4500.0,0.4212135248861882
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,5000.0,0.44832437178061124
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,25.0,60.0,5500.0,0.4723492087951052
