delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
10.0,30.0,2000.0,39,0.0002420726543021149,0.00024550854276184433,0.0002788730550048334,0.0003099982324517507,0.0003485006223187788,0.0004107119400864094,0.0004341055931512878,0.00031794313699599067
10.0,30.0,2500.0,39,0.00021114540373835033,0.00021614860459067314,0.0002579558586724679,0.00027324157824353684,0.0003073708697122976,0.00034379401583060427,0.0003615019455096872,0.000282173415353109
10.0,30.0,3000.0,39,0.00019195841448504437,0.00019554748987193158,0.00023227251989885693,0.0002517692857608795,0.0002695836773451212,0.0003050334860764917,0.0003131086488169945,0.0002513982379316618
10.0,30.0,3500.0,39,0.00017061633989720726,0.00018362753350129418,0.00021708943150012156,0.0002276121876234489,0.0002429145924188697,0.0002755144110054562,0.0002845138222572583,0.00022822104999512585
10.0,30.0,4000.0,39,0.0001522914933978207,0.00017164665216570625,0.00020046777647913312,0.00021394657617762237,0.00022821596194500852,0.0002556173213389677,0.00026837572291914783,0.00021322607770481625
10.0,30.0,4500.0,39,0.00014861629022717738,0.00016450674516615128,0.00018970085114314425,0.0002001178028821106,0.00021835870334344093,0.0002470286051272955,0.0002588826837243996,0.0002052225560099966
10.0,30.0,5000.0,39,0.00015115198737224435,0.00016632876271726208,0.00018814502103190335,0.00019497984514773613,0.00021751651737822876,0.0002446703555205058,0.0002519382222898662,0.00020175817998653643
10.0,30.0,5500.0,39,0.00015532435212535321,0.00016759093240741266,0.00018574705223748674,0.00019645598328011106,0.00021101161033680187,0.00024526124129710717,0.00025719527297316685,0.0002005670759838086
10.0,30.0,6000.0,39,0.00016066468872006064,0.00017130580691165692,0.0001848047280806979,0.00019696392879847666,0.000207754314227087,0.0002472291629316722,0.0002639252426286958,0.000200418490774323
10.0,30.0,6500.0,39,0.00016770756711177265,0.00017428156470127566,0.00018543610699605202,0.00019877575497167114,0.00020842341613722153,0.00025259362730365624,0.000268090078450901,0.00020088968250392406
10.0,30.0,7000.0,39,0.0001682016715823908,0.0001746779554857934,0.0001862888943448236,0.00019984594590983173,0.00020997558038539469,0.00025373697386294066,0.00026843110430879545,0.00020178427896376617
10.0,30.0,7500.0,39,0.00016706077623905645,0.00017540024289460174,0.00018762044379800843,0.00020081518687894788,0.00021288698280256106,0.0002516229196246647,0.00026502867059459217,0.00020284584619300458
10.0,30.0,8000.0,39,0.000170863610802494,0.00017512581532670813,0.00018906167399160366,0.00019999408936570922,0.0002160953826475227,0.000247620401947458,0.0002589468018209611,0.0002038032800389921
10.0,30.0,8500.0,39,0.0001737261561882889,0.00017722178820669954,0.00019058083423865438,0.00020434443190690113,0.00021770736144530864,0.0002429396757120377,0.0002516554803112255,0.0002044712651681319
10.0,30.0,9000.0,39,0.0001724670217358195,0.0001778436051199073,0.00018770969220897074,0.0002053379856796148,0.00021780275608430558,0.00023821820335214765,0.00024673029776603597,0.00020476488746009686
10.0,30.0,9500.0,39,0.0001716603669825619,0.00017793206494160564,0.0001850186682713898,0.00020108218579770128,0.00022247586735593623,0.00023403916586839033,0.0002453457969723268,0.00020467238956281477
10.0,30.0,10000.0,39,0.00017119318142014563,0.00017505937389894423,0.00018348628750788223,0.0002024206452167089,0.00022460194584279054,0.00023330170630959823,0.00024523052880688303,0.00020424333816654433
10.0,30.0,10500.0,39,0.0001676731353735838,0.0001706757764611191,0.00018224582508154116,0.00020345300356894826,0.00022443799631396635,0.00023784572041129977,0.0002465544383988925,0.00020359160209492883
10.0,30.0,11000.0,39,0.00016272722133302896,0.000165941917405213,0.00018008691376608025,0.00020367864923113163,0.00022172610851286118,0.00024299797600315002,0.0002495868357877671,0.00020288926823586477
10.0,30.0,11500.0,39,0.00016106265600792448,0.0001621186735883368,0.0001771920181568261,0.00020363110872846375,0.0002184368633404204,0.00024698386244852334,0.00025451754512228895,0.00020234016084965057
10.0,30.0,12000.0,39,0.00015841297235019233,0.00016241271745388966,0.00017491769160906073,0.00020144204299821155,0.0002167106221107781,0.00024970746379608026,0.00026123976414134967,0.0002021369121571396
12.0,36.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,36.0,500.0,39,0.0001841403866497388,0.00018594671852672113,0.00020827804442329745,0.00023912370837174567,0.00034753074642816394,0.0004563462377539091,0.00047343256980558263,0.00028388022185233265
12.0,36.0,1000.0,39,0.0002319303046874811,0.00023683654823252582,0.0002571020460189844,0.0003096160986549098,0.0004242318420591072,0.0005502324528673558,0.0005595303401832204,0.0003506708717325894
12.0,36.0,1500.0,39,0.000251338396402209,0.0002536612666023261,0.0002823559266814334,0.00033623219655554246,0.00041565605342988815,0.0005205529476027238,0.0005434607667895805,0.0003555415582130849
12.0,36.0,2000.0,39,0.0002487230337012804,0.00025635401693268256,0.000284787984676843,0.0003223249188291064,0.0003833960558908305,0.00045724646394894216,0.0004931052571308368,0.00033835089861854146
12.0,36.0,2500.0,39,0.00023596030334400482,0.00024830263336246945,0.00026759048028212565,0.00030368816746250744,0.00034552509253636183,0.00040086573276127633,0.0004357983027327772,0.00031344521112377626
12.0,36.0,3000.0,39,0.00021414918162065418,0.00023402464645521528,0.0002516669679889595,0.00029021734009338754,0.00030877886705350647,0.00035554058022258797,0.00038716656445437743,0.00028784706083613483
